date,portfolio_value,fold_id
2023-09-21,983344.2,32
2023-09-22,982721.31,32
2023-09-25,982721.31,32
2023-09-26,982721.31,32
2023-09-27,982721.31,32
2023-09-28,982721.31,32
2023-09-29,982721.31,32
2023-10-03,982721.31,32
2023-10-04,982721.31,32
2023-10-05,982721.31,32
2023-10-06,982721.31,32
2023-10-09,982721.31,32
2023-10-10,982721.31,32
2023-10-11,982721.31,32
2023-10-12,982721.31,32
2023-10-13,982721.31,32
2023-10-16,982721.31,32
2023-10-17,982721.31,32
2023-10-18,982721.31,32
2023-10-19,982721.31,32
2023-10-20,982721.31,32
2023-10-23,982721.31,32
2023-10-25,982721.31,32
2023-10-26,982721.31,32
2023-10-27,982721.31,32
2023-10-30,982721.31,32
2023-10-31,982721.31,32
2023-09-01,1000000.0,33
2023-09-04,1000522.05,33
2023-09-05,1002816.0,33
2023-09-06,1001738.42,33
2023-09-07,1003444.39,33
2023-09-08,1007093.99,33
2023-09-11,1011586.8,33
2023-09-12,997826.68,33
2023-09-13,997610.55,33
2023-09-14,1000977.58,33
2023-09-15,1003544.34,33
2023-09-18,1001592.72,33
2023-09-20,997198.0,33
2023-09-21,992812.37,33
2023-09-22,992784.49,33
2023-09-25,992480.89,33
2023-09-26,994459.65,33
2023-09-27,999717.48,33
2023-09-28,997408.09,33
2023-09-29,999175.73,33
2023-10-03,999818.33,33
2023-10-04,994621.67,33
2023-10-05,991330.96,33
2023-10-06,994204.56,33
2023-10-09,989854.99,33
2023-10-10,995344.56,33
2023-10-11,997408.71,33
2023-10-12,998079.25,33
2023-10-13,998795.36,33
2023-10-16,999294.35,33
2023-10-17,998089.98,33
2023-10-18,998101.43,33
2023-10-19,997593.41,33
2023-10-20,997593.41,33
2023-10-23,997593.41,33
2023-10-25,997593.41,33
2023-10-26,997593.41,33
2023-10-27,997593.41,33
2023-10-30,997593.41,33
2023-10-31,997593.41,33
2023-11-01,997593.41,33
2023-11-02,997593.41,33
2023-11-03,997593.41,33
2023-11-06,997593.41,33
2023-11-07,997593.41,33
2023-11-08,997593.41,33
2023-11-09,997593.41,33
2023-11-10,997593.41,33
2023-11-13,997593.41,33
2023-11-15,997593.41,33
2023-11-16,997593.41,33
2023-11-17,997593.41,33
2023-11-20,997593.41,33
2023-11-21,997593.41,33
2023-11-22,997593.41,33
2023-11-23,997593.41,33
2023-11-24,997593.41,33
2023-11-28,997593.41,33
2023-11-29,997593.41,33
2023-11-30,997593.41,33
2023-10-03,1000000.0,34
2023-10-04,1000000.0,34
2023-10-05,1000000.0,34
2023-10-06,1000000.0,34
2023-10-09,999085.85,34
2023-10-10,1010451.6,34
2023-10-11,1010076.64,34
2023-10-12,1009411.6,34
2023-10-13,1010790.38,34
2023-10-16,1014085.24,34
2023-10-17,1012816.76,34
2023-10-18,1011578.25,34
2023-10-19,1013172.41,34
2023-10-20,1009545.91,34
2023-10-23,1003872.14,34
2023-10-25,1002835.11,34
2023-10-26,1001844.52,34
2023-10-27,1001354.55,34
2023-10-30,1002112.12,34
2023-10-31,1002344.44,34
2023-11-01,1001353.04,34
2023-11-02,1003650.89,34
2023-11-03,1007883.45,34
2023-11-06,1010882.57,34
2023-11-07,1009199.61,34
2023-11-08,1013638.38,34
2023-11-09,1016915.69,34
2023-11-10,1016312.0,34
2023-11-13,1016132.01,34
2023-11-15,1019330.34,34
2023-11-16,1022967.96,34
2023-11-17,1021130.26,34
2023-11-20,1023143.07,34
2023-11-21,1026113.71,34
2023-11-22,1027705.52,34
2023-11-23,1031967.94,34
2023-11-24,1030660.59,34
2023-11-28,1036067.31,34
2023-11-29,1043684.33,34
2023-11-30,1050838.09,34
2023-12-01,1052159.3,34
2023-12-04,1057179.43,34
2023-12-05,1055641.25,34
2023-12-06,1057328.88,34
2023-12-07,1060035.82,34
2023-12-08,1062500.82,34
2023-12-11,1063663.75,34
2023-12-12,1061613.85,34
2023-12-13,1063940.28,34
2023-12-14,1068837.66,34
2023-12-15,1073264.94,34
2023-12-18,1076134.86,34
2023-12-19,1074358.0,34
2023-12-20,1068057.66,34
2023-12-21,1067865.68,34
2023-12-22,1069218.97,34
2023-12-26,1071553.11,34
2023-12-27,1074039.35,34
2023-12-28,1078024.57,34
2023-12-29,1078723.68,34
2023-11-01,1000000.0,35
2023-11-02,1000000.0,35
2023-11-03,1000000.0,35
2023-11-06,1000000.0,35
2023-11-07,1000000.0,35
2023-11-08,1000000.0,35
2023-11-09,1000000.0,35
2023-11-10,1000000.0,35
2023-11-13,1000000.0,35
2023-11-15,1000000.0,35
2023-11-16,1000393.26,35
2023-11-17,998635.49,35
2023-11-20,1000786.02,35
2023-11-21,1006153.01,35
2023-11-22,1005535.74,35
2023-11-23,1010506.8,35
2023-11-24,1007685.5,35
2023-11-28,1011606.93,35
2023-11-29,1015231.91,35
2023-11-30,1018332.55,35
2023-12-01,1021612.2,35
2023-12-04,1024909.08,35
2023-12-05,1023002.12,35
2023-12-06,1024130.6,35
2023-12-07,1026072.05,35
2023-12-08,1031791.82,35
2023-12-11,1033937.48,35
2023-12-12,1031542.7,35
2023-12-13,1030050.71,35
2023-12-14,1036889.55,35
